id;city;lon;lat
010535308120;Sierksrade;10,600344;53,736555
010535313002;Alt-M�lln;10,658165;53,622775
010535313005;B�lau;10,621739;53,616381
010535313013;Borstorf;10,564234;53,613074
010535313014;Breitenfelde;10,632977;53,605112
010535313037;Grambek;10,68068;53,574025
010535313056;Hornbek;10,648548;53,5589
010535313084;Lehmrade;10,752721;53,5947
010535313095;Niendorf/ Stecknitz;10,609244;53,587228
010535313113;Schretstaken;10,539293;53,586533
010535313125;Talkau;10,568741;53,576852
010535313134;Woltersdorf;10,640176;53,576862
010535318010;Besenthal;10,743239;53,530139
010535318015;Br�then;10,667034;53,480281
010535318020;B�chen;10,616482;53,480926
010535318029;Fitzen;10,64667;53,493942
010535318035;G�ttin;10,70343;53,533746
010535318046;Gudow;10,77219;53,555336
010535318048;G�ster;10,680583;53,53952
010535318064;Klein Pampau;10,586656;53,512681
010535318080;Langenlehsten;10,740533;53,499907
010535318092;M�ssen;10,562546;53,494346
010535318104;Roseburg;10,624215;53,530505
010535318115;Schulendorf;10,561815;53,47331
010535318119;Siebeneichen;10,618693;53,510828
010535318126;Tramm;10,614693;53,56324
010535318132;Witzeeze;10,610144;53,452652
010535323003;Aum�hle;10,313492;53,528598
010535323012;B�rnsen;10,285588;53,476743
010535323023;Dassendorf;10,372665;53,488608
010535323028;Escheburg;10,309429;53,46713
010535323050;Hamwarde;10,421397;53,452847
010535323053;Hohenhorn;10,367611;53,475734
010535323072;Kr�ppelshagen-Fahrendorf;10,315197;53,488589
010535323131;Wiershop;10,451895;53,442501
010535323133;Wohltorf;10,291254;53,517253
010535323135;Worth;10,408431;53,467545
010535343006;Basedow;10,583592;53,416151
010535343019;Buchhorst;10,568335;53,384993
010535343022;Dalldorf;10,610487;53,435521
010535343058;Juliusburg;10,506484;53,41715
010535343073;Kr�zen;10,527113;53,401518
010535343074;Krukow;10,478187;53,418864
010535343082;Lanze;10,604387;53,386341
010535343087;L�tau;10,545404;53,435861
010535343111;Schnakenbek;10,50018;53,385426
010535343128;Wangelau;10,546567;53,453726
010535358001;Albsfelde;10,694451;53,679957
010535358004;B�k;10,787081;53,716345
010535358016;Brunsmark;10,750236;53,617106
010535358018;Buchholz;10,745377;53,731393
010535358026;Einhaus;10,725697;53,714136
010535358030;Fredeburg;10,72727;53,674253
010535358033;Giesensdorf;10,713651;53,688273
010535358040;Gro� Disnack;10,69059;53,741974
010535358041;Gro� Gr�nau;10,750476;53,801387
010535358043;Gro� Sarau;10,737415;53,771827
010535358051;Harmsdorf;10,725868;53,700407
010535358054;Hollenbek;10,819794;53,592298
010535358057;Horst;10,77065;53,638591
010535358062;Kittlitz;10,918244;53,664141
010535358066;Klein Zecher;10,872803;53,577413
010535358078;Kulpin;10,695812;53,71009
010535358088;Mechow;10,801815;53,717556
010535358093;Mustin;10,886235;53,68453
010535358098;Pogeez;10,729435;53,750929
010535358102;R�mnitz;10,768957;53,710121
010535358107;Salem;10,827965;53,656405
010535358110;Schmilau;10,75597;53,664589
010535358117;Seedorf;10,866858;53,619223
010535358123;Sterley;10,817631;53,620115
010535358136;Ziethen;10,809322;53,693695
010535373007;Basthorst;10,47139;53,576616
010535373017;Brunstorf;10,425938;53,491554
010535373021;Dahmker;10,444516;53,587821
010535373027;Elmenhorst;10,537551;53,544876
010535373031;Fuhlenhagen;10,5266;53,572959
010535373036;Grabau;10,519825;53,513609
010535373042;Gro� Pampau;10,560301;53,521808
010535373045;Grove;10,492067;53,528123
010535373047;G�lzow;10,490939;53,442249
010535373049;Hamfelde;10,44893;53,597194
010535373052;Havekost;10,473088;53,539918
010535373059;Kankelau;10,56832;53,549311
010535373060;Kasseburg;10,415399;53,567213
010535373070;K�thel;10,510002;53,606936
010535373071;Kollow;10,458784;53,463155
010535373076;Kuddew�rde;10,401901;53,587291
010535373089;M�hnsen;10,469197;53,559974
010535373091;M�hlenrade;10,48775;53,595838
010535373106;Sahms;10,532723;53,525807
010535391025;Duvensee;10,568351;53,693029
010535391038;Grinau;10,549505;53,775447
010535391039;Gro� Boden;10,452871;53,752722
010535391044;Gro� Schenkenberg;10,56488;53,793492
010535391068;Klinkrade;10,55033;53,716092
010535391069;Koberg;10,52596;53,639594
010535391077;K�hsen;10,615824;53,682661
010535391079;Labenz;10,524596;53,708352
010535391081;Lankau;10,665636;53,667879
010535391085;Linau;10,46755;53,643933
010535391086;L�chow;10,529518;53,690744
010535391096;Nusse;10,575979;53,65908
010535391097;Panten;10,61977;53,664571
010535391099;Poggensee;10,579484;53,640102
010535391101;Ritzerau;10,567545;53,663003
010535391108;Sandesneben;10,496793;53,68797
010535391109;Schiphorst;10,461627;53,708361
010535391112;Sch�nberg;10,433054;53,677154
010535391114;Sch�rens�hlen;10,47204;53,763455
010535391118;Siebenb�umen;10,525162;53,749557
010535391121;Sirksfelde;10,509773;53,66533
010535391122;Steinhorst;10,48343;53,719989
010535391124;Stubben;10,43068;53,732928
010535391127;Walksfelde;10,575101;53,631901
010535391130;Wentorf (Amt Sandesneben);10,474911;53,67663
